t_mono_ns,t_wall,backend,synthetic,util_gpu_pct,mem_bus_busy_pct,mem_used_bytes,mem_total_bytes,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,sm_active_frac,dram_active_frac,tensor_active_frac,kv_cache_perc,num_running,num_waiting
2205938258823,1781481358.9357815,nvidia-smi,False,0.0,0.0,38439747584.0,41875931136.0,64.84,400.0,1410.0,1215.0,30.0,,,,0.0,0.0,0.0
2206193152273,1781481359.1906755,nvidia-smi,False,94.0,89.0,38441844736.0,41875931136.0,352.79,400.0,1395.0,1215.0,40.0,,,,0.01334148080252573,4.0,0.0
2206898903753,1781481359.8964272,nvidia-smi,False,95.0,91.0,38441844736.0,41875931136.0,236.54,400.0,1410.0,1215.0,39.0,,,,0.0,0.0,0.0
2210946643403,1781481363.9441683,nvidia-smi,False,0.0,0.0,38441844736.0,41875931136.0,69.22,400.0,1410.0,1215.0,34.0,,,,0.0,0.0,0.0
2211220596112,1781481364.2181196,nvidia-smi,False,95.0,91.0,38441844736.0,41875931136.0,242.38,400.0,1410.0,1215.0,44.0,,,,0.01466544454628782,4.0,0.0
2213858025703,1781481366.8555489,nvidia-smi,False,95.0,90.0,38441844736.0,41875931136.0,234.22,400.0,1410.0,1215.0,40.0,,,,0.0,0.0,0.0
2215980336532,1781481368.9778612,nvidia-smi,False,0.0,0.0,38441844736.0,41875931136.0,66.57,400.0,1410.0,1215.0,36.0,,,,0.0,0.0,0.0
2216211565032,1781481369.20909,nvidia-smi,False,0.0,0.0,38441844736.0,41875931136.0,65.71,400.0,1410.0,1215.0,35.0,,,,0.0,0.0,0.0
2216462401352,1781481369.4599245,nvidia-smi,False,95.0,90.0,38441844736.0,41875931136.0,240.92,400.0,1410.0,1215.0,41.0,,,,0.0,0.0,0.0
2218453897552,1781481371.45142,nvidia-smi,False,11.0,11.0,38441844736.0,41875931136.0,74.47,400.0,1410.0,1215.0,37.0,,,,0.0,0.0,0.0
2218693891612,1781481371.6914165,nvidia-smi,False,0.0,0.0,38441844736.0,41875931136.0,66.03,400.0,1410.0,1215.0,36.0,,,,0.0,0.0,0.0
2218925309402,1781481371.9228334,nvidia-smi,False,0.0,0.0,38441844736.0,41875931136.0,66.3,400.0,1410.0,1215.0,35.0,,,,0.0,0.0,0.0
