t_mono_ns,t_wall,backend,synthetic,util_gpu_pct,mem_bus_busy_pct,mem_used_bytes,mem_total_bytes,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,sm_active_frac,dram_active_frac,tensor_active_frac,kv_cache_perc,num_running,num_waiting
7145660665328,1781486298.658189,nvidia-smi,False,0.0,0.0,38441844736.0,41875931136.0,151.99,400.0,1095.0,1215.0,47.0,,,,0.0033608310418575815,1.0,0.0
7146019455718,1781486299.0169792,nvidia-smi,False,95.0,80.0,38441844736.0,41875931136.0,422.52,400.0,1395.0,1215.0,56.0,,,,0.04134840615133928,12.0,0.0
7146807700438,1781486299.8052237,nvidia-smi,False,94.0,89.0,38441844736.0,41875931136.0,246.78,400.0,1410.0,1215.0,51.0,,,,0.0,0.0,0.0
7148864685828,1781486301.8622098,nvidia-smi,False,95.0,85.0,38441844736.0,41875931136.0,426.89,400.0,1380.0,1215.0,56.0,,,,0.02362766065790811,7.0,0.0
7149514394258,1781486302.5119176,nvidia-smi,False,97.0,49.0,38441844736.0,41875931136.0,354.97,400.0,1395.0,1215.0,60.0,,,,0.047153477950911515,14.0,0.0
7149855644178,1781486302.8531687,nvidia-smi,False,95.0,68.0,38441844736.0,41875931136.0,396.14,400.0,1410.0,1215.0,60.0,,,,0.09990834097158574,28.0,0.0
7150983569148,1781486303.9810925,nvidia-smi,False,94.0,63.0,38441844736.0,41875931136.0,360.58,400.0,1410.0,1215.0,59.0,,,,0.12068438741216014,33.0,0.0
7151602325288,1781486304.5998492,nvidia-smi,False,96.0,49.0,38441844736.0,41875931136.0,306.24,400.0,1410.0,1215.0,57.0,,,,0.18077197270597822,49.0,0.0
7152588845637,1781486305.586369,nvidia-smi,False,97.0,45.0,38441844736.0,41875931136.0,366.57,400.0,1395.0,1215.0,61.0,,,,0.2041959466340768,56.0,0.0
7152914713788,1781486305.9122367,nvidia-smi,False,97.0,43.0,38441844736.0,41875931136.0,417.34,400.0,1365.0,1215.0,63.0,,,,0.23138812506365214,64.0,0.0
7153209476457,1781486306.2070003,nvidia-smi,False,95.0,59.0,38441844736.0,41875931136.0,267.68,400.0,1410.0,1215.0,59.0,,,,0.2429982686627966,66.0,0.0
7153637001837,1781486306.6345253,nvidia-smi,False,96.0,50.0,38441844736.0,41875931136.0,382.22,400.0,1395.0,1215.0,61.0,,,,0.26071901415622767,71.0,0.0
7154024537047,1781486307.022061,nvidia-smi,False,95.0,54.0,38441844736.0,41875931136.0,333.25,400.0,1380.0,1215.0,62.0,,,,0.24605356960993996,68.0,0.0
7154374533177,1781486307.3720565,nvidia-smi,False,94.0,55.0,38441844736.0,41875931136.0,421.98,400.0,1380.0,1215.0,63.0,,,,0.23994296771565338,67.0,0.0
7154646164607,1781486307.6436877,nvidia-smi,False,96.0,45.0,38441844736.0,41875931136.0,423.7,400.0,1380.0,1215.0,63.0,,,,0.2644872186577044,74.0,0.0
7154893890387,1781486307.8914137,nvidia-smi,False,97.0,44.0,38441844736.0,41875931136.0,419.07,400.0,1365.0,1215.0,63.0,,,,0.27803238619003967,78.0,0.0
7155160295187,1781486308.1578186,nvidia-smi,False,92.0,68.0,38441844736.0,41875931136.0,403.69,400.0,1395.0,1215.0,62.0,,,,0.28821672268051735,80.0,0.0
7155570160357,1781486308.567684,nvidia-smi,False,96.0,52.0,38441844736.0,41875931136.0,269.41,400.0,1395.0,1215.0,59.0,,,,0.29229045727670844,81.0,0.0
7155919243237,1781486308.916767,nvidia-smi,False,92.0,66.0,38441844736.0,41875931136.0,358.42,400.0,1380.0,1215.0,63.0,,,,0.30827986556675835,86.0,0.0
7156171593427,1781486309.169117,nvidia-smi,False,95.0,57.0,38441844736.0,41875931136.0,407.74,400.0,1395.0,1215.0,62.0,,,,0.3369996944699053,93.0,0.0
7156570453717,1781486309.5679774,nvidia-smi,False,98.0,47.0,38441844736.0,41875931136.0,405.42,400.0,1395.0,1215.0,61.0,,,,0.3710153783481006,102.0,0.0
7157064715257,1781486310.0622408,nvidia-smi,False,92.0,73.0,38441844736.0,41875931136.0,404.82,400.0,1380.0,1215.0,62.0,,,,0.3921987982482942,106.0,0.0
7157719837757,1781486310.7173629,nvidia-smi,False,97.0,58.0,38441844736.0,41875931136.0,387.72,400.0,1365.0,1215.0,63.0,,,,0.4125674712292494,112.0,0.0
7158033960087,1781486311.0314834,nvidia-smi,False,93.0,67.0,38441844736.0,41875931136.0,382.22,400.0,1395.0,1215.0,62.0,,,,0.4152153987167736,112.0,0.0
7158575414276,1781486311.5729375,nvidia-smi,False,97.0,62.0,38441844736.0,41875931136.0,387.18,400.0,1395.0,1215.0,62.0,,,,0.4463794683776352,120.0,0.0
7159115278396,1781486312.112802,nvidia-smi,False,93.0,70.0,38441844736.0,41875931136.0,364.52,400.0,1380.0,1215.0,63.0,,,,0.4448518179040636,120.0,0.0
7159431507967,1781486312.4290311,nvidia-smi,False,95.0,62.0,38441844736.0,41875931136.0,351.46,400.0,1380.0,1215.0,63.0,,,,0.45157347998777875,122.0,0.0
7159733646356,1781486312.7311695,nvidia-smi,False,96.0,61.0,38441844736.0,41875931136.0,409.2,400.0,1380.0,1215.0,63.0,,,,0.4691923821163051,127.0,0.0
7160059767247,1781486313.0572908,nvidia-smi,False,96.0,64.0,38441844736.0,41875931136.0,401.1,400.0,1380.0,1215.0,63.0,,,,0.4905794887463082,133.0,0.0
7160319138976,1781486313.3166623,nvidia-smi,False,94.0,66.0,38441844736.0,41875931136.0,402.83,400.0,1395.0,1215.0,63.0,,,,0.4808025257154497,131.0,0.0
7160676718407,1781486313.6742418,nvidia-smi,False,98.0,61.0,38441844736.0,41875931136.0,308.89,400.0,1410.0,1215.0,62.0,,,,0.45228638354211226,124.0,0.0
7160987925976,1781486313.98545,nvidia-smi,False,96.0,62.0,38441844736.0,41875931136.0,387.72,400.0,1395.0,1215.0,62.0,,,,0.47571035747021084,130.0,0.0
7161280421227,1781486314.2779446,nvidia-smi,False,95.0,65.0,38441844736.0,41875931136.0,334.95,400.0,1410.0,1215.0,60.0,,,,0.4893573683674508,132.0,0.0
7161657036456,1781486314.65456,nvidia-smi,False,89.0,73.0,38441844736.0,41875931136.0,302.52,400.0,1410.0,1215.0,58.0,,,,0.4381301558203483,117.0,0.0
7162019809607,1781486315.017333,nvidia-smi,False,88.0,74.0,38441844736.0,41875931136.0,297.27,400.0,1410.0,1215.0,57.0,,,,0.37753335370200636,100.0,0.0
7162384815876,1781486315.382339,nvidia-smi,False,90.0,75.0,38441844736.0,41875931136.0,289.12,400.0,1410.0,1215.0,57.0,,,,0.3495264283531928,91.0,0.0
7162762554876,1781486315.7600782,nvidia-smi,False,91.0,74.0,38441844736.0,41875931136.0,290.31,400.0,1410.0,1215.0,56.0,,,,0.2752826153376108,71.0,0.0
7163147114046,1781486316.144637,nvidia-smi,False,91.0,74.0,38441844736.0,41875931136.0,280.7,400.0,1410.0,1215.0,56.0,,,,0.22996231795498523,58.0,0.0
7163564187336,1781486316.5617106,nvidia-smi,False,91.0,75.0,38441844736.0,41875931136.0,257.2,400.0,1410.0,1215.0,55.0,,,,0.11742539973520727,29.0,0.0
7164068273586,1781486317.0657973,nvidia-smi,False,93.0,84.0,38441844736.0,41875931136.0,247.32,400.0,1410.0,1215.0,54.0,,,,0.0,0.0,0.0
