t_mono_ns,t_wall,backend,synthetic,util_gpu_pct,mem_bus_busy_pct,mem_used_bytes,mem_total_bytes,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,sm_active_frac,dram_active_frac,tensor_active_frac,kv_cache_perc,num_running,num_waiting
7207264746461,1781486360.2622705,nvidia-smi,False,0.0,0.0,38441844736.0,41875931136.0,214.8,400.0,1095.0,1215.0,44.0,,,,0.0032589876769528736,1.0,0.0
7207579030531,1781486360.5765538,nvidia-smi,False,95.0,89.0,38441844736.0,41875931136.0,237.76,400.0,1410.0,1215.0,52.0,,,,0.0032589876769528736,1.0,0.0
7211325189770,1781486364.322713,nvidia-smi,False,95.0,90.0,38441844736.0,41875931136.0,367.7,400.0,1395.0,1215.0,55.0,,,,0.0032589876769528736,1.0,0.0
7213262335521,1781486366.2598586,nvidia-smi,False,94.0,89.0,38441844736.0,41875931136.0,393.23,400.0,1380.0,1215.0,55.0,,,,0.0032589876769528736,1.0,0.0
7215167296900,1781486368.1648204,nvidia-smi,False,95.0,90.0,38441844736.0,41875931136.0,403.69,400.0,1380.0,1215.0,55.0,,,,0.0032589876769528736,1.0,0.0
7218983637020,1781486371.9811602,nvidia-smi,False,95.0,89.0,38441844736.0,41875931136.0,420.52,400.0,1365.0,1215.0,56.0,,,,0.0032589876769528736,1.0,0.0
7220901937000,1781486373.89946,nvidia-smi,False,95.0,89.0,38441844736.0,41875931136.0,434.44,400.0,1365.0,1215.0,54.0,,,,0.0032589876769528736,1.0,0.0
7224664297019,1781486377.6618202,nvidia-smi,False,95.0,90.0,38441844736.0,41875931136.0,240.08,400.0,1380.0,1215.0,57.0,,,,0.0032589876769528736,1.0,0.0
7226603669159,1781486379.6011925,nvidia-smi,False,95.0,82.0,38441844736.0,41875931136.0,233.11,400.0,1380.0,1215.0,56.0,,,,0.0032589876769528736,1.0,0.0
7228511374908,1781486381.508898,nvidia-smi,False,95.0,89.0,38441844736.0,41875931136.0,326.61,400.0,1365.0,1215.0,57.0,,,,0.0032589876769528736,1.0,0.0
7230417687859,1781486383.4152112,nvidia-smi,False,95.0,77.0,38441844736.0,41875931136.0,387.45,400.0,1365.0,1215.0,57.0,,,,0.0032589876769528736,1.0,0.0
7232352085248,1781486385.3496087,nvidia-smi,False,,,,,,,,,,,,,0.0032589876769528736,1.0,0.0
7237999581827,1781486390.9971054,nvidia-smi,False,95.0,89.0,38441844736.0,41875931136.0,247.32,400.0,1410.0,1215.0,51.0,,,,0.0,0.0,0.0
