t_mono_ns,t_wall,backend,synthetic,util_gpu_pct,mem_bus_busy_pct,mem_used_bytes,mem_total_bytes,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,sm_active_frac,dram_active_frac,tensor_active_frac,kv_cache_perc,num_running,num_waiting
7498570574817,1781486651.5680976,nvidia-smi,False,0.0,0.0,38441844736.0,41875931136.0,52.34,400.0,1095.0,1215.0,44.0,,,,0.0,0.0,0.0
7498859529617,1781486651.857052,nvidia-smi,False,98.0,29.0,38441844736.0,41875931136.0,256.61,400.0,1380.0,1215.0,51.0,,,,0.01965576942662184,3.0,3.0
7499106252907,1781486652.1037755,nvidia-smi,False,95.0,89.0,38441844736.0,41875931136.0,248.18,400.0,1410.0,1215.0,49.0,,,,0.0,0.0,0.0
7502966297516,1781486655.96382,nvidia-smi,False,98.0,36.0,38441844736.0,41875931136.0,417.01,400.0,1380.0,1215.0,58.0,,,,0.039413382218148496,6.0,10.0
7503388323987,1781486656.3858466,nvidia-smi,False,98.0,36.0,38441844736.0,41875931136.0,406.61,400.0,1395.0,1215.0,59.0,,,,0.06579081372848561,10.0,6.0
7503647383987,1781486656.6449065,nvidia-smi,False,99.0,36.0,38441844736.0,41875931136.0,417.34,400.0,1380.0,1215.0,59.0,,,,0.09216824523882272,14.0,2.0
7503906356087,1781486656.9038787,nvidia-smi,False,94.0,89.0,38441844736.0,41875931136.0,402.23,400.0,1410.0,1215.0,53.0,,,,0.1059170995009675,13.0,0.0
7508049378906,1781486661.0469015,nvidia-smi,False,97.0,57.0,38441844736.0,41875931136.0,396.73,400.0,1365.0,1215.0,58.0,,,,0.09298299215806094,12.0,0.0
7508294641496,1781486661.292164,nvidia-smi,False,98.0,40.0,38441844736.0,41875931136.0,408.6,400.0,1365.0,1215.0,59.0,,,,0.08666870353396472,12.0,0.0
7508546056876,1781486661.5435793,nvidia-smi,False,98.0,36.0,38441844736.0,41875931136.0,380.49,400.0,1380.0,1215.0,60.0,,,,0.08045625827477343,12.0,0.0
7508788803296,1781486661.7863257,nvidia-smi,False,99.0,36.0,38441844736.0,41875931136.0,403.69,400.0,1380.0,1215.0,60.0,,,,0.09858437722782365,15.0,0.0
7509050594946,1781486662.0481174,nvidia-smi,False,94.0,89.0,38441844736.0,41875931136.0,394.14,400.0,1410.0,1215.0,54.0,,,,0.10428760566249107,13.0,0.0
7513125095355,1781486666.122618,nvidia-smi,False,96.0,61.0,38441844736.0,41875931136.0,384.86,400.0,1395.0,1215.0,59.0,,,,0.09145534168448921,12.0,0.0
7513447875295,1781486666.4453979,nvidia-smi,False,99.0,36.0,38441844736.0,41875931136.0,368.68,400.0,1380.0,1215.0,60.0,,,,0.0851410530603931,12.0,0.0
7513695660855,1781486666.6931834,nvidia-smi,False,98.0,36.0,38441844736.0,41875931136.0,416.15,400.0,1365.0,1215.0,60.0,,,,0.0789286078012017,12.0,0.0
7513940179455,1781486666.9377024,nvidia-smi,False,94.0,89.0,38441844736.0,41875931136.0,380.49,400.0,1395.0,1215.0,55.0,,,,0.10275995518891945,13.0,0.0
7518278855025,1781486671.2763777,nvidia-smi,False,95.0,65.0,38441844736.0,41875931136.0,370.94,400.0,1395.0,1215.0,59.0,,,,0.08361340258682148,12.0,0.0
7518759669765,1781486671.7571924,nvidia-smi,False,94.0,88.0,38441844736.0,41875931136.0,245.86,400.0,1410.0,1215.0,50.0,,,,0.0,0.0,0.0
